rating,comment
5,Came and delivered. With all the pads. Nicely packaged. Will use when in need.. :D
5,Recieve fast. Trying soon
5,"Package well received. I have tried it, waiting to see if theres any results"
5,Item is as described. Fast delivery. Am using it now. Its good in working condition as described
5,The delivery was fast... I have not try but  Quality is good... I will buy again
5,Thanks 
4,Ok fast delivery 
5,Received the product within a week is really fast! Box dented but is ok coz importantly are the contents! Received in good condition! 
5,Received in 5 days after placed order. Super fast! 👍🏻
5,Items as describe but not sure how effective
1,I just got a electric shock with this thing! Wth. It's really bad
5,"Order received! Have yet to try, will update after trying"
5,Strength is good with 4 mode. Excellent product! 
5,Thank item get and satisfied 
5,Now i can trainZzz. Item delivered fast. And easy to use. Well recommended seller.
5,Bought the full set. Received as described. Have to note that you need to buy additional gel pads as the pre-stuck gel pads will only last you approximately 1 week.
3,Items received... all items looks very small compared to pictures in the ad listing. 😰
5,Very good product. 
5,Item well received.. Thank you..
3,"Do not like the fit so much, very different material as compared to other design in the same brand "
5,"order received in 7 days! my second purchase for this design :-) absolutely love the quality material and fitting of this, and this purple color is gorgeous! size M fits perfect for a usual Nike sports bra S/M."
5,"Received the product fast and it’s Super comfy! Quality is good, even though it’s for exercising but it can be wear out as a simple top :) 


*Photo is slightly filtered but the colors are true to seller’s picture "
5,Soft not bad
5,Thanks to the review by the ladies. Got M for me which is the sport size of S to M.  Good fit. Love the purple color. 
5,Order took abt 10 days to reach me. I usually wear S for tops so this fits well but the straps are a lil tight as I have pretty broad shoulders. Also bit difficult to put on and take off. Maybe I’ll try M next. Love the material.
5,Well received 
2,"Item received few days ago, abdominal left and right parts not working (vibration). Feedback to the seller but no result given. "
5,Great product and customer service. Will purchase from this seller. 
5,"Items received well packed. Delivery is quite fast, received within 1 week after order. Yet to try it. Hopefully it work well and show some result. :)"
4,Box damage when received 
5,Fast delivery and the product is as like the photo displayed. 
5,Comes with a bag and workout instructions! Perfect thank you!
5,"The band looks great, tried the resistance and it feels good. Hope to use it soon"
5,"Csnt wait to try them, love the colours as well! Thanks for the quick delivery! "
5,Great porduct. Delivert quite fast
5,"Received in good quality, i like the colours!  "
5,Fast delivery works well
5,Receives the items in good condition and they are packed nicely in good packaging. This item is good to use and this is my 2nd purchase and recommend to purchase........................
5,👍👍👍👍
5,"Product received in good quality 👍, tried using it for the first time. Wow the intensity is really power. By using 20 mins on my arms and abdominals. I start to sweat already. Thanks for the wonderful product. Hope after using for 2 Months can see some results. "
4,Dint get the gel pad tho the rest as described 
5,Great works well
5,Thank u
5,"i like the length of the tank top, nicely cropped but not too short. the cup inside was a little too thick for my liking but the material is rly good for this price! "
5,"Though the paddings are rather thick, item came in good quality and for the price I paid for, it was a good buy! "
5,Love the Low back cutting. 
5,Item well received. Have yet to try. Hope it’s nice. Thank u!
5,Cutest top ever
5,"The padding is big, but not an issue as it can be swapped out. Otherwise, love the cut, especially the back!"
5,Looks pretty good. Feels thick as well. Yet to wear. 
5,Love this just that the bottom area is kinda loose ( it has an always lift at the back )
4,"Fabric is pretty thick. It’s good for yoga but higher impact exercises, not really. "
5,Gr8 but awkward lift at the back 
5,Brand on tag and bag is not MP like my previous purchases but good material 
5,"Loving the backless sports bra! Feels like I can wear it on it's own or with another backless crop top!
A little bit tight for my size but still able to fit. "
5,"The purple looks a bit darker in real life. Still happy, thanks!"
5,"Ordered on 15th June, received on 23rd June. 4th time purchasing and it is always a pleasant experience. Selected the wrong size and seller was helpful to amend my order. Satisfied thou would have preferred if the inside do not have a separated band. I suppose it gives more support that way anyway."
5,"received in 8 days! usually a Nike sports bra size S/M, I opted M for this based on the measurements provided, and it fits nicely! love that the white color material is good and thick enough, so it is not see through :-)"
5,"Repeated buyer, fits so well and so cheap when bought during flash deal, thank you!!"
4,"Second time buying from moving peach. This time not 100% satisfied with all items. I like the cutting for this. Fit is fine too, just that it comes with weird thick padding and is not so stretchy. I don’t like work out tops that are a struggle to remove. "
5,"Well received! Material is good, thick, stretchy, and opaque! "
5,Quick delivery and item looks exactly like photos. Great quality at such a low price. I would suggest sticking to your usual sizing as L is way larger than any of the other tops.
4,"Material feels good! Items are exact to the pictures ~ yet to try on though

:) thanks!:) "
5,Love it niw using it
5,Received the product within 7 days. Box was dented but product seems ok. Have yet to try it. Thanks to the seller.
5,The product delivered as expected... It's good but just want to know how to get the gel.
5,Fast delivery and good quality. It's really working well. It makes me sweat a lot. What makes me more contented is that ..once you on it...it will not shocked you. It's slowly working and u can choose how the level. I love it the most among all I tried. Thanks seller I highly recommend you. God bless
5,"As advertised. Sturdy and worth the money.
"
5,Received in good condition. Yet to try to see if it works
4,Well received. Box a little dented but all’s good. Just thought that a full set came with the gel pads as well but I was wrong. 
5,Product came in fast. In goood packaging and waiting to try it out
5,Well received but not yet try is working or not. Thank you...
5,The delivery was quick. The ab trainer has faulty but the seller will be providing a new set for me. Thanks 👌🏻 great service
5,Well received. 
5,"Item received with great condition, 5 star rate as promised "
5,Not bad! This product 
4,"The left and right is not having vibration. Only middle part is working.

The arm band stimulation also not having uniform distribution "
3,Came quite fast. Havent tried yet. 
5,Item came very fast and in good conditions I will buy it always and again. 
5,Item came in very fast and in good conditions I will buy again and again. 
5,Good 
5,"A pad was not functioning as per normal, however with the great customer support from the seller, it brings trust to all consumer to purchase more from them. The seller can guide on the troubleshooting of themuscle trainer and will send out a new defective parts to customer.Waiting for the parts now"
5,"Sound great of the product.
Haven't try yet. Hopefully got effect for my body fat burning "
5,well packaged! hope it works 
5,Product is good. Gel can be used for maybe 7 times? Will recommend  
5,Gel is good and comfortable. Does not irritate my skin. Good.
5,"See nice, let my friend try 😁"
5,Item received as described and in good condition
5,Great item
5,Order received. Box was destroyed but item inside still nicely packed. Tried and could feel the contractions 
5,"Good product, really can feel a little sweaty. I have used for three days, still starting from Low to high current. However, right side stronger than left, so abs may turn out lopsided. Other than that, I think must also control diet and workout. This is just an additional measure"
5,as it had stated.
5,"Intensity is very strong. Only downside is the arm band is very short and can't cover the entire arm and may come off during use. Otherwise,  is a good value purchase"
3,Received item yesterday.. tested the device and it is working great.. just that it’s a bit flimsy.. 
5,Very well packaged and the size is just nice. Worth the money! 
3,"Product is great. However, delivery man left at the door without informing. "
5,"So pretty pink!! Thank you for such a fast delivery, will buy again!"
5,Good buy ! 
1,"Material feels like styrofoam, and the backbone of the roller feels like toilet roll. Not keen to use it. Not a good buy. "
5,Item as described. Delivery took abit of time. But understandable. Can't wait to use it 
5,Product is good quality and sturdy. Will definitely recommend.
5,"the roller arrived very fast even though, the circuit breaker."
5,Received the item in great condition! 
5,Love this colour!! Foam roller was out of stock but seller replied promptly about the restocking date. Shipping was very quick too!
5,Item came as per described! Really good use & fast delivery. Highly recommended!
5,Fast delivery - works as it should!
4,Speedy delivery; minor cracks on the foam portion
5,Delivery was quick despite the situation. Tried it works well. Really like the 2 different textures. 
5,"This local delivery took longer than expected - saw tracking status updates. Order 15 may and received 27 may. Fine as I was not rushing.
  "
5,Fast delivery! Product as described! User it on the day it arrived to ease my muscle ache! 
5,Good massage. Foam roller is well built!
5,delivery was really quick! item came as described and its rly sturdy as well 
5,Foam roller was in excellent condition and arrived very quickly
5,"Delivery was fast , only 2 days and items is true to the picture of item . Good quality . Will buy again from this local buyer . "
5,Thank you for the Fast Delivery! Perfect size and color. I recommend this product. 
5,Lime green doesn't look too bad
5,"Bought it as a gift for a friend, delivered straight to her. She said it’s really useful after long bike rides. "
5,"delivery took 2 days, super fast considering the situation. item well received, thanks seller!"
5,fsst deliver. will try if effective..hope so. 
5,Item received in good condition and works very well😁👍🏻
5,"Everything is packed nicely in a box and it is individually sealed. It comes with a 3 head charger that allows you to charge 3 Ems at the same time. Strong powerful Ems, with different mode. Good product."
5,Product was packaged really nicely. Seemed to work well after switching it on and testing it.
5,Item received in good condition and it is working in good condition. U can feel the electric movement when applied. 
5,Fast delivery
5,Cant wait to use it. Good buy and price is very reasonable.
5,Tired using once it works. It has many speeds and functions which is good. 
5,Product received in great condition ! Thanks seller! 
5,Items received. Yet to try. Hope it works well. 
5,Fast delivery and good condition
5,"Originally ordered and received a blue grid roller cos the one I wanted wasn't in stock. However, the seller came to my place and made the change to what I wanted (in pic). Awesomeness. "
5,"Thank you! Very satisfied with my order. Product is great n works well. Well packaged n speedy delivery by J&T courier. Received the next day after I placed my order!! I use the bumpy one for my legs coz of Long distance running, and the smooth one for my lower back. "
5,Received the item in good condition. It's firm and really kneads those achey muscles. Bought two rolls and comes with free delivery. Will order again if needed. Tks
5,"Delivery was so prompt i’m surprised! Have yet to use it, will purchase again if it’s good."
5,Very fast delivery and items also good
5,"Product works, but efficacy unknown yet. "
5,Seller was very prompt in updating on the product delivery. Tried and works perfectly well. 
4,"Product received earlier than anticipated, the shopee status was indicating in transit. Size a lot different than expected.  Box was crushed on arrival. Have yet to try out but hope it works.The arm strips looks very small and short. Seller is responsive. One of the unit not working. "
4,"Shipment took longer than expected. But it is becos of the covid19 situation, so i can undrrstand."
4,Received in time. Seems to work ok however cannot feel any pulse from the additional wrap around sections that are attached to the main abdominal pad section. Aside from that works as described. 
5,Looks good! 
5,Fast delivery 👍
5,Super fast delivery .. received faster than expected.  Great stuff
5,"Fast delivery. Was just expecting it would include a bag, but overall it’s worth the price still. Love the color too "
5,Happy with my purchase. 
5,Good thank you~
5,Good customer service. Although there are some problem after goods received but seller is responsible and make the replacement. 
4,"Fast delivery. For the price it is, this is pretty good. Tried and works well except the gel on the pads tend to be very difficult to peel off when u want to reuse it."
5,Haven't tried it yet but got it in good condition. Hope it works
5,"Received item earlier than given date. Tried the product, I think it will work. Gonna try for a longer period and see how it goes! "
5,Received in good condition. Yet to try and i hope it works fine
5,It actually works. I can feel my muscles clench. Hopefully it helps with my workout results
5,Fast delivery tested ok
5,Recieved. Havent tey yet. Hopefully it works for me. 
5,Thanks for the item
5,Thanks so much seller.. received & tested.It works... 👍🏽👍🏽👍🏽👍🏽👍🏽
5,"On time delivery.  Product condition good and working well. 
"
4,Strong vibrations ! It made my arms twitch . Will use for a while and update . Adhesive quite sticky 
5,Fast delivered.thanks. i havent   yet.look is good
5,"Tried, strong vibration"
5,"Came a little later than ETA,but understandable due to covid. Product works fine,and can feel the muscles being clenched,although the one for the abs need to be set to a higher intensity to be able to feel it. Overall recommended!"
5,Items received in good packaging and condition. Will try it soon n see what the result.
5,overall okay. dont feel much of the intensity. But delivery was fast. thanks
5,"Items well received, have yet to try."
5,Packaged nicely
3,Sticky pads not sticky after just one use. Electronics works just fine.
5,"Working well, my tummy is sweating. Will buy again when it's spoil, hopefully no so soon. 😃"
5,Good product 👍
5,"Ahhhhhhh thisss isssss greatttt product I luv it,vi tried working welll"
5,Just received the item in good condition. Nicely packaged. Have not try it yet. Hope it will be useful.
5,"This product is awesome! I just got mine, it works perfectly. Gonna get one more for my friend.👍"
5,Good purchase. Working well
5,"Item received in good condition. I found the size might be slightly too big for me, make it harder for me to row around."
5,accurate product. works well
5,"Requested for the blue one and seller gave it to me! Thank you! Item was delivered promptly, packaged properly and has no defects! Very satisfied with it :)"
5,Good product and received it quickly
5,Satisfied with purchase :) 
5,Super fast delivery!
5,Nice product. Fast shipping. 
5,Good 
5,Very good service - Delivery was super fast. Seller is responsive and responsible. Definitely will continue to buy from this seller again. Recommended!!!
5,Have yet to try but thank you for confirming the delivery and good service ! Thank you!
5,Thanks seller for the prompt reply and assist to shipped out my purchase on the next business day. Will use it together with my training and see hows the effect will be. 
5,Received but yet try.
5,Received faster than expected. Work well. 
5,Have yet to try
5,Was great
5,Good condition
5,"I had recieved the goods, is well package and the controller is working. Thanks"
5,received well
5,Works very well
5,Product did not take too long to arrive. Tested and working perfectly as can feel the reaction on the muscles.
5,Received thru letterbox. Tested and can definitely feel something specially on high level. Not sure if it can accomplish what it claims but will find out soon enough. Adhesive gels would probably lose stickiness after a while though. 
5,It works !! 👍
5,Yet to open. Just collected. So far experience dealing with seller is good
5,Received well with the pads! Wrapped up properly too. Charging the controllers to see if they work but overall satisfied with this purchase.
5,"Pretty good, easy to use. Hope it will be effective and useful."
5,"Received in good physical condition. Cant wait to use this. Hope it works as advertised. Thank you, seller!👍🏼👍🏼👍🏼"
5,Nice packaging. Fast reply. Hopefully it works.
5,Very Good!
5,"Good cs, haven try out the item. "
5,Well look nice & yet to try ! 
5,Item received in good condition
5,Fast delivery. 
5,Ordered this only a few days ago - fast! Item came nicely wrapped. Looks good. Looking forward to use it. 
5,Bright and nice orange colour. Fast delivery. 
5,"Received in good condition, thank you seller for the prompt delivery 🚚 "
5,Delivery was fast and worth it for the price! Material is a little hard so it helps with back ache and soreness. Overall good quality and prompt delivery! 
5,Fast delivery! The foam roller is hard and of good quality. Highly recommended 👍🏻
5,My second purchase. Good quality and value for money. Fast delivery too. 
5,Delivery was fast
5,Package in good condition. Have yet to try it but im excited.
5,Box are dented oh why.
5,good buy during flash deal. 
4,"Looks cute & all but back part rides up like some others said, although sizing was right."
5,The padding was thicker than those from other products and fitting around bust could be better 
5,Love the back of the design!!! 
3,"The paddings are too thick and do not mold well especially on white colour, shoulder straps are a bit short, yet underarm hems gap a little... "
5,a good fit and quality material! it is also very comfortable though the cloth is on a thicker side
4,"Fast delivery
Received as what shown.. but the bra site doesnt fit well on me.. maybe I don’t have big boobs😂"
5,Received in 9 days. Quality is good & comfy. 
5,"Will got another type, well fitted."
5,"Ordered 22nd of November, received on the 16th of June. Very satisfied with the top. "
5,Shipping is fast once it reaches SG
5,"Material is nice and soft, has a built in bra compartment. I like it a lot! "
4,"Quite thick, feels like swimwear "
5,Very good material. Comfortable and sizing is as described. Stretchable. 
5,Good quality.. Thumb up 
4,"Tank top came with removable bra padding, it was on the thicker side and weights a little so I swapped it out. Other than being a low - medium intensity bra tank, this too could easily be a lounge wear/ basic top. "
5,Major love the scoop back top plus the inner padding! 
5,NIce bareback cutting! Could even pair it with nice pants or skirt to head out. Material is thick and sticks nicely to the body when working out. 
5,"Like this very much .167/51kg, M fits me well ! "
5,"M is too big for UK6/8, would suggest getting S instead! So sad it feels so comfy but too big for me :( "
5,love it! size just right
5,Have yet to try but so far quality is good. Comes with a push up cups.
5,Usually an S for sports bras. Not very tight. Makes a better layering top. 
5,"Fast delivery within 1.5 weeks! Quality is really good too, can double up as a camisole and work out top:) For reference, am 48kg, 24” waist and usually an XS/S and S fits perfectly. M would’ve been too loose — like another that I’ve bought. Will recommend!"
5,Soft quality and really nice product overall. Shipping is fast too.
5,"Size too small and not expandable
"
5,Bought it during flash sale and got 2 diff colours and sizes. I’m usually a uk6/8 . Size M fits me better and size S is more body hugging which I prefer it to be looser. It’s comfy to wear it as a lounge wear at home !
5,Initially thought material would be a little thin and not very good but it's actually nice and sturdy and hugs the body just right! 
5,Sizing fits well and material is decent (not translucent at all). Will definitely order again. 
5,Quality is good. Suitable for Low impact exercises. Could be worn as casual wear too!
5,"Bought this pair of tights for a friend who is UK8, fits perfectly."
5,"Great tops! Can be worn outside as well. Note that the material is stiffer and thicker than usual, so don’t expect it to be as stretchable. But good quality for sure :)"
5,"Comfortable
"
5,nice! the padding was little too thick for my liking but it is removable. so no issues there. I wear UK6/8- I got a M size - it was just right...maybe a little snug - but still ok. 
3,Not a fan of the inner rubber band but the cut looks pretty 
5,Nice. love the colour n good quality. Wil buy again 😍
5,Fits well and doesn’t shift while working out! Very comfortable. Highly recommend!
5,"Fits UK6-8, C70-C75. "
5,"LOVE! Honestly was afraid the purple wld be too dull but it complements my skin tone really well❤️ ended up the most in love with the purple out of all the tops (they were all great, good cutting, quality material!)
(168cm, 59kg, UK6-8, bought M)"
5,Item received well packaged. Normally wear a size S for tops. M for this fits well. 
5,This tank too is very nice. Good padding. Can wear it for workout or just going out. Love it!
5,"sized up cause of bust size, ordered M before but it doesn’t provide good support for bigger bust size. this one fits okay and quite good support, would be great if the strap is adjustable so we can adjust for body length"
5,love the quality! am very happy with it. am probably gonna use my own padding... unsure if i bought one size too small?? but still love it
5,I’m uk 6(?) for TOP and this is slightly big for me but comfortable! Thanks seller :)
5,"Item took a while to arrive, but quality is good and flattery cut. Comfortable to exercise in."
4,Material is comfortable. True to size. Will repurchase when there’s a sale again.
5,"Usually a UK6-8 on top, but even then the top can be a little tight to put on and take off, though the fit is ok once it’s on. Might try to size up next time.k Mok"
3,The size S appears to be very tight even though usually I wear size S for tops. Hopefully it will get looser as I stretch it
5,"fits perfectly! decent price for good quality, very fast delivery. will definitely purchase again!"
5,"Picked size S, equivalent to adidas XS. "
4,Looks nice but straps were a bit too short. Not very comfortable 
5,"Love this, well padded and fits well (usual S, sized up)"
5,"Good quality.
Happy to receive.
Fast delivery also.
Thank you seller."
5,Love this - could also use as a top on its own (super comfy and looks good). Removable paddings. Will be buying again in other colours!
5,"straps are a little loose,  nonetheless a good product overall considering the price paid. "
4,Packed individually- as described. Feel the quality is adequate to pricing. Hope it’ll last..
5,So pleased with my purchase. It works as a top for barre or yoga lessons if you prefer. Or even as a top over high-waisted bottoms. 
5,A bit shorter than expected
5,good quality and highly recommended!
5,"Nicely packed, great material but doesn’t fit that well on me though"
5,"relatively quick delivery with correct item in good condition, no dents or damage i could see and was packaged in a few layers of plastic protection! satisfied with product :-) "
5,Fast delivery and well packed. Normal to have sore pain after rolling?
4,"Fast delivery, abt 3 days received after place order. Buy for daughter, she tried, say it good to relax muscle. "
5,Delivery was really fast only took 2 days! Am satisfied with my purchase 
4,Pdt feels sandy/ dirty after unwrapping 
5,Good quality foam roller for pre and post workouts. Item received in 3days. 
5,"Item is well packed and in good condition. Fast delivery. Ordered on 21/6 and received on 23/6. Thanks seller‼
"
5,Helps with massaging my back and rolling over knots. Recommended! 
5,second or third purchase already! item as shown. seller is super responsive and i received the foam roller  within a few days! :)
5,"Took pretty long to arrive but they’re so pretty!!! Love them and cant wait to try them
"
5,super fast delivery ! so far no issues and thanks for the speedy delivery 
5,"Quality quite good, delivery fast considered the covid situation
"
4,Well received...like the product. 👍
5,Great
5,Extremely fast delivery! Received 2 days after ordering! Good quality and looks durable. Will reccomend! 
5,Item arrived very quickly. Tested and worked well with my sore muscles. Thanks! 
5,Received in 3 days.
5,Item well received. Its bigger than expected. There was some prob initially with the delivery but it was promptly action on by the seller. 
5,"Very sturdy and no faults! A lil heavy but that's good to hold my body weight when I roll!
I think the length is just nice for me too, used a nalgene bottle for comparison "
5,"Quality seems not too bad, price is not expensive and delivery was fast. "
5,"looks good and i’ll be using this for my aching shoulder :(

very fast delivery"
5,Seller reply my enquiries promptly. Delivered within a few days. There is a small dent on blue one. 
5,Packaging was a bit torn off when I opened the package. Overall good quality and fast delivery. Ordered on Sunday and arrived today.
5,This is life changing! Product is really good and I feel so good after using it. My body aches are better managed. Highly recommended.
5,Delivery speed was really fast. Good product and will be back for more. 
5,Fast delivery within 3 days from date. Product is good value for money.
5,Good quality. Good price. Good delivery. Feels very good to roll upper back and thighs
5,Nice colour and good for back though on the heavy side compared to my previous one. 
5,oh was expecting it to be slightly smaller in circumference but it's sturdy and of quality!
5,"Time is of good quality, it is hard enough to serve it's purpose. "
5,Good quality!! Will order again 
4,"Its sturdy and does the job well, "
5,Received item in good condition. First time using this so got my son to teach me how to use it to benefit me. 
5,Ordered on thursday and delivered on saturday. Feels quite sturdy for $11.99. There are some creases/wrinkles on the foam. Hopefully they dont affect the usage and product’s longevity.
5,"NOTE: DOESN'T INCLUDE THE BLUE SMALL ONE. The delivery was fast, and the quality is real good. Recommended! "
5,"Happy with the delivery time and product. Received 2 days after placing order and both are sturdy.. think I need to study a bit more on how to properly use the rollers, maybe on YouTube or something"
5,"Good quality, firm and sturdy roller, cheap price, speedy delivery. Useful for my back, Thank you!"
5,"Still prefers the normal grid one, this feels too pokey for me. But the qualify is decent"
5,Received really soon (within a few days)!! Bigger than expected but thats great.  Came with photos of suggested massage techniques. Cant wait to use it! Shoes size 37 for reference
5,2nd purchase. Happy with my first one! Came really fast only took 2 days
5,"Received well packaged and fast ! Came as ordered and no defects or issues
"
5,Value for money. Minor imperfection as seen in picture but still usable! 
5,Received in less than a week. Round rumble works just fine! Good stuff!
5,Products were shipped the next day after purchase and came very quickly. Items are exactly as described 👍🏼
5,Super fast shipping
5,Great customer service!
5,Delivery was quite fast. The item came in good condition. Still yet to try.
5,Received! THANKS👍🏻👍🏻👍🏻👍🏻 i don’t regret! 👍🏻👍🏻👍🏻👍🏻👍🏻😭👍🏻👍🏻😭
5,"This helps my husband’s leg pain, and that means I don’t have to burn my energy massaging. And delivery was so fast! Not even 2 days I think. 👍🏽👍🏽"
5,"FAST DELIVERY! Ordered on 3rd Jun, received on the 6th. Can't wait to try it. :)

Seller was really helpful and patient when I met with an issue with the courier service. 😊"
4,Received within a week. The spikes are firm and it feels good when used. Really presses into you acupoints when you lie on it
5,"product came within a week, good quality and nice colour as well :) worth the buy "
5,Tested good so far. This bigger 14cm  diameter Yoga roller work better than those which is smaller at 8cm diameter which cost less than 50% of this item.
5,Feels really sturdy. And material feels very good as welll. Hope it will last for a while.
5,Product seems rather sturdy. Fast delivery.
5,Item received in good condition. Yeapppppppppppppppppppp
5,"Bought the spike and grid, i like the color. Tested rolling on my sore muscle and it feels good. I wish it can be more intense. And very fast delivery. "
5,Received the items super quickly and they are true to picture :)
5,Fast delivery and item as described. 
5,"Good quality foam, came within 2 days which was really fast and efficient! "
5,Ordered on 29mar & received on 31mar in good condition. Good buy!
5,Fast delivery!
5,Product came in good condition amd well packed. Highly recommended!
5,Value for money. Fast delivery. Will try tommorow during my home wrkout.
3,Product came nicely wrapped in good condition. Abit disappointed as it was too small to use for rolling on the back as pictured. Otherwise i use it for my legs after my run and it helps.
5,"Very good quality, great value for money. Happy with my order."
5,Item received promptly and as described. Very durable too!
5,Received it well! Good for price
5,Super good item. Rigid and steady foamer. Highly recommended. 
5,Thinner than expected but satisfied. Perfectly portable 
5,Product received in good condition. Good quality and fast delivery. 
4,Very fast delivery but the inner core of the roller does not feel as strong as the one I bought previously elsewhere.
5,very good
5,Loooks good and it’s quite tough. Shall try it in a short while 
5,works well :) 
5,Nice to use. Very firm and can feel the spikes
5,Received as described. Fast delivery even during circuit breaker time.
3,Luckily got nearby collection point if not delivery is charged. Item looks discolored and a bit of scratches.
5,Bought this many many times I like it a lot good fit and comfortable 
5,Bra feels really comfortable and good! Really very worth it! Delivery was very fast too!! Definitely recommend 
5,Very good quality happy for my order..thank u seller😘
5,Received p quickly and in good condition!! Padding isn’t that great but worth for price paid:)
5,"The only thing that's off is the padding, it's not memory foam so when it arrived it was squished and deformed but I use my own bra and it's super nice! 😍"
5,Received in good condition... good quality  for the price paid 
5,Fast delivery and received in good condition with well packaging. Item exact to picture as well.
5,"A little dusty, but overall item came pretty fast and in good condition."
5,"Items received fast and wrapped 
Fantastic "
5,"Very good packaging and good condition too!! Very satisfied, bought 4 and planning to give as Christmas presents!(:"
5,Fast delivery! Excellent customer service. Fast response when I msg! Will buy again from this shop
5,Very good. Very effective with rolling out knots and it is a great way to stretch out after a good gym session. Not to mention the price is very affordable for the quality and make.
5,Received in good condition. Delivery within 1week. Never expected the size are big to me. Hopefully it useful on exercise. love it. 
5,Fast delivery via ninja box. Saved on the delivery fee. Works well.
5,Receive in good condition....fast delivery 🚚 
5,Item was delivered quickly and is in good condition. Thank you!
5,loove it!
5,Ordered on 9 apr and received it on 11 apr. Perfect to relieve sore muscles 
5,"Foam roller received 2 days after ordering, works great and true to picture! Definitely a bargain - highly recommended!"
5,"Second time purchase, very love the product. Highly recommended "
5,Received fast. Quality not bad. It is convenient for me carrying to gym. 
5,Quick and good product
5,"Delivery was fast, product looks and feels ok. Just tested it and it felt like a good back massage"
5,"Very high quality products, very satisfied and highly recommended "
5,Order recieve in good condition
5,"The condition of the bra after washing for 1 time, colour more dull than expected, overall comfortable, value buy"
5,"Material is very soft and comfortable. Well made item. As it is dual sized, it may not be a snug fit, but it’s great for home wear. "
5,Good quality thou bit loose in me cos i m XS. 
5,Its good.. will buy again
5,Very well packed and in good condition. Can’t wait to try  it out and see how comfortable it will be. 
5,Items is received in good order as in pic . 
5,Bought for my teenage children. Good and useful for back exercise.
5,"Received products in good condition!
Roller is sturdy 👍🏼

And fast delivery. Ordered two days ago only.
Thank you seller! "
5,Delivery quite prompt and fast. Packaging is done nicely with plastic wrap. Material feels sturdy.The price also a great value. Overall a value buy.
5,Finally some relief for my aching back
5,Received in good condition. Thanks for quick delivery.
5,Very fast delivery! And nice colour 
5,Item received in perfect condition and I’m excited to try! Thank you! Will purchased other rollers in future! 
5,Delivery within 3.5 days. Item received well packed and in good conditions. Great for beginners. Value for money.
