rating,comment,cleaned_review,aspect,sentiment_label,sentiment
5,Well received..................,well received,Delivery & Service,2,Positive
5,"Looks good , but need to try out to see if it’s work 😂",look good but need try see it’s work,Others,2,Positive
5,Tested to be working perfectly. Hopefully will help recover and strengthen from C-section before I start lifting weights again.,tested working perfectly hopefully help recover strengthen csection start lifting weight,Others,2,Positive
5,"Product received in good condition.
The electric shock from the EMS is a great fit for the different muscles. Can feel the burn. ",product received good condition electric shock em great fit different muscle can feel burn,Delivery & Service,2,Positive
5,The product is great. Love using it. Awesome and nice to use.,product great love using awesome nice use,Others,2,Positive
5,Received earlier than expected. Good packaging as if bought from shop. Vibration motion can be feel. Very3 satisfied.,received earlier expected good packaging bought shop vibration motion can feel satisfied,Product Quality,2,Positive
5,Received well packed and very good condition.. Will try and update again how it works for me.. Thank you seller.. Will definitely buy again to this seller.. ,received well packed good condition try update work thank seller definitely buy seller,Delivery & Service,2,Positive
5,"Thanks for the item 
",thanks item,Others,2,Positive
5,"No bad use
",no bad use,Others,2,Positive
4,"Item received and working. Only thing is the arm band doesn't stick well. Moden4 is already very strong, don't dare try Mode 6.",item received working thing arm band doesnt stick well moden already strong dont dare try mode,Product Quality,2,Positive
5,"Item received as stated. Hope it works, will try out soon. Thanks.
",item received stated hope work try soon thanks,Product Quality,2,Positive
5,Good,good,Others,2,Positive
5,"Fast delivery. 
Looks legit as you can feel the effects when using. ",fast delivery look legit can feel effect using,Delivery & Service,2,Positive
5,Arrived in good condition will test out after charging the energy pads,arrived good condition test charging energy pad,Delivery & Service,2,Positive
4,Item looks good. Good thing is it's rechargeable.,item look good good thing rechargeable,Others,2,Positive
5,Item received in good condition. Will try it out later,item received good condition try later,Delivery & Service,2,Positive
5,Thnk u my order are recieved now,thnk order recieved,Others,2,Positive
5,"Nicely packed.
Thin pads
Strong frequency 
Hopefully can see the effects soon",nicely packed thin pad strong frequency hopefully can see effect soon,Product Quality,2,Positive
5,Product arrived in neatly packed package. Have tried for a few hours today and it worked. The vibration can be quite strong. User manual is simple and didn't explain the 6 modes but can be figured out. Good value for the price! ,product arrived neatly packed package tried few hour today worked vibration can quite strong user manual simple didnt explain mode but can figured good value price,Product Quality,2,Positive
5,Item received in good working condition. Really enjoyed the muscle toner gear everyday. Worth the money!!!,item received good working condition really enjoyed muscle toner gear everyday worth money,Delivery & Service,2,Positive
5,Nicely packed in a box for full set. Look OK and will try it out. Hope it works.,nicely packed box full set look ok try hope work,Packaging Quality,2,Positive
5,Came and delivered. With all the pads. Nicely packaged. Will use when in need.. :D,came delivered pad nicely packaged use need,Packaging Quality,2,Positive
5,Recieve fast. Trying soon,recieve fast trying soon,Others,2,Positive
5,"Package well received. I have tried it, waiting to see if theres any results",package well received tried waiting see there result,Packaging Quality,2,Positive
5,Item is as described. Fast delivery. Am using it now. Its good in working condition as described,item described fast delivery using good working condition described,Delivery & Service,2,Positive
5,The delivery was fast... I have not try but  Quality is good... I will buy again,delivery fast not try but quality good buy,Product Quality,2,Positive
5,Thanks ,thanks,Others,2,Positive
4,Ok fast delivery ,ok fast delivery,Delivery & Service,2,Positive
5,Received the product within a week is really fast! Box dented but is ok coz importantly are the contents! Received in good condition! ,received product within week really fast box dented but ok coz importantly content received good condition,Packaging Quality,2,Positive
5,Received in 5 days after placed order. Super fast! 👍🏻,received day placed order super fast 👍🏻,Delivery & Service,2,Positive
5,Items as describe but not sure how effective,item describe but not sure effective,Product Quality,2,Positive
1,I just got a electric shock with this thing! Wth. It's really bad,got electric shock thing wth really bad,Others,0,Negative
5,"Order received! Have yet to try, will update after trying",order received yet try update trying,Delivery & Service,2,Positive
5,Strength is good with 4 mode. Excellent product! ,strength good mode excellent product,Product Quality,2,Positive
5,Thank item get and satisfied ,thank item get satisfied,Product Quality,2,Positive
5,Now i can trainZzz. Item delivered fast. And easy to use. Well recommended seller.,can trainzzz item delivered fast easy use well recommended seller,Delivery & Service,2,Positive
5,Bought the full set. Received as described. Have to note that you need to buy additional gel pads as the pre-stuck gel pads will only last you approximately 1 week.,bought full set received described note need buy additional gel pad prestuck gel pad last approximately week,Delivery & Service,2,Positive
3,Items received... all items looks very small compared to pictures in the ad listing. 😰,item received item look small compared picture ad listing,Delivery & Service,1,Neutral
5,Very good product. ,good product,Others,2,Positive
5,Item well received.. Thank you..,item well received thank,Delivery & Service,2,Positive
3,"Do not like the fit so much, very different material as compared to other design in the same brand ",not like fit much different material compared design brand,Product Quality,1,Neutral
5,"order received in 7 days! my second purchase for this design :-) absolutely love the quality material and fitting of this, and this purple color is gorgeous! size M fits perfect for a usual Nike sports bra S/M.",order received day second purchase design absolutely love quality material fitting purple color gorgeous size fit perfect usual nike sport bra sm,Product Quality,2,Positive
5,"Received the product fast and it’s Super comfy! Quality is good, even though it’s for exercising but it can be wear out as a simple top :) 


*Photo is slightly filtered but the colors are true to seller’s picture ",received product fast it’s super comfy quality good even though it’s exercising but can wear simple top photo slightly filtered but color true seller’s picture,Delivery & Service,2,Positive
5,Soft not bad,soft not bad,Product Quality,2,Positive
5,Thanks to the review by the ladies. Got M for me which is the sport size of S to M.  Good fit. Love the purple color. ,thanks review lady got sport size good fit love purple color,Product Quality,2,Positive
5,Order took abt 10 days to reach me. I usually wear S for tops so this fits well but the straps are a lil tight as I have pretty broad shoulders. Also bit difficult to put on and take off. Maybe I’ll try M next. Love the material.,order took abt day reach usually wear top fit well but strap lil tight pretty broad shoulder also bit difficult put take maybe i’ll try next love material,Product Quality,2,Positive
5,Well received ,well received,Delivery & Service,2,Positive
2,"Item received few days ago, abdominal left and right parts not working (vibration). Feedback to the seller but no result given. ",item received few day ago abdominal left right part not working vibration feedback seller but no result given,Delivery & Service,0,Negative
5,Great product and customer service. Will purchase from this seller. ,great product customer service purchase seller,Delivery & Service,2,Positive
5,"Items received well packed. Delivery is quite fast, received within 1 week after order. Yet to try it. Hopefully it work well and show some result. :)",item received well packed delivery quite fast received within week order yet try hopefully work well show result,Delivery & Service,2,Positive
4,Box damage when received ,box damage received,Packaging Quality,2,Positive
5,Fast delivery and the product is as like the photo displayed. ,fast delivery product like photo displayed,Delivery & Service,2,Positive
5,Comes with a bag and workout instructions! Perfect thank you!,come bag workout instruction perfect thank,Others,2,Positive
5,"The band looks great, tried the resistance and it feels good. Hope to use it soon",band look great tried resistance feel good hope use soon,Others,2,Positive
5,"Csnt wait to try them, love the colours as well! Thanks for the quick delivery! ",csnt wait try love colour well thanks quick delivery,Delivery & Service,2,Positive
5,Great porduct. Delivert quite fast,great porduct delivert quite fast,Others,2,Positive
5,"Received in good quality, i like the colours!  ",received good quality like colour,Product Quality,2,Positive
5,Fast delivery works well,fast delivery work well,Product Quality,2,Positive
5,Receives the items in good condition and they are packed nicely in good packaging. This item is good to use and this is my 2nd purchase and recommend to purchase........................,receives item good condition packed nicely good packaging item good use nd purchase recommend purchase,Packaging Quality,2,Positive
5,👍👍👍👍,👍👍👍👍,Others,2,Positive
5,"Product received in good quality 👍, tried using it for the first time. Wow the intensity is really power. By using 20 mins on my arms and abdominals. I start to sweat already. Thanks for the wonderful product. Hope after using for 2 Months can see some results. ",product received good quality tried using first time wow intensity really power using min arm abdominal start sweat already thanks wonderful product hope using month can see result,Product Quality,2,Positive
4,Dint get the gel pad tho the rest as described ,dint get gel pad tho rest described,Others,2,Positive
5,Great works well,great work well,Product Quality,2,Positive
5,Thank u,thank,Others,2,Positive
5,"i like the length of the tank top, nicely cropped but not too short. the cup inside was a little too thick for my liking but the material is rly good for this price! ",like length tank top nicely cropped but not short cup inside little thick liking but material rly good price,Product Quality,2,Positive
5,"Though the paddings are rather thick, item came in good quality and for the price I paid for, it was a good buy! ",though padding rather thick item came good quality price paid good buy,Product Quality,2,Positive
5,Love the Low back cutting. ,love low back cutting,Others,2,Positive
5,Item well received. Have yet to try. Hope it’s nice. Thank u!,item well received yet try hope it’s nice thank,Delivery & Service,2,Positive
5,Cutest top ever,cutest top ever,Others,2,Positive
5,"The padding is big, but not an issue as it can be swapped out. Otherwise, love the cut, especially the back!",padding big but not issue can swapped otherwise love cut especially back,Others,2,Positive
5,Looks pretty good. Feels thick as well. Yet to wear. ,look pretty good feel thick well yet wear,Others,2,Positive
5,Love this just that the bottom area is kinda loose ( it has an always lift at the back ),love bottom area kinda loose always lift back,Others,2,Positive
4,"Fabric is pretty thick. It’s good for yoga but higher impact exercises, not really. ",fabric pretty thick it’s good yoga but higher impact exercise not really,Others,2,Positive
5,Gr8 but awkward lift at the back ,gr but awkward lift back,Others,2,Positive
5,Brand on tag and bag is not MP like my previous purchases but good material ,brand tag bag not mp like previous purchase but good material,Product Quality,2,Positive
5,"Loving the backless sports bra! Feels like I can wear it on it's own or with another backless crop top!
A little bit tight for my size but still able to fit. ",loving backless sport bra feel like can wear or another backless crop top little bit tight size but still able fit,Product Quality,2,Positive
5,"The purple looks a bit darker in real life. Still happy, thanks!",purple look bit darker real life still happy thanks,Others,2,Positive
5,"Ordered on 15th June, received on 23rd June. 4th time purchasing and it is always a pleasant experience. Selected the wrong size and seller was helpful to amend my order. Satisfied thou would have preferred if the inside do not have a separated band. I suppose it gives more support that way anyway.",ordered th june received rd june th time purchasing always pleasant experience selected wrong size seller helpful amend order satisfied thou would preferred inside not separated band suppose give support way anyway,Product Quality,2,Positive
5,"received in 8 days! usually a Nike sports bra size S/M, I opted M for this based on the measurements provided, and it fits nicely! love that the white color material is good and thick enough, so it is not see through :-)",received day usually nike sport bra size sm opted based measurement provided fit nicely love white color material good thick enough not see,Product Quality,2,Positive
5,"Repeated buyer, fits so well and so cheap when bought during flash deal, thank you!!",repeated buyer fit well cheap bought flash deal thank,Product Quality,2,Positive
4,"Second time buying from moving peach. This time not 100% satisfied with all items. I like the cutting for this. Fit is fine too, just that it comes with weird thick padding and is not so stretchy. I don’t like work out tops that are a struggle to remove. ",second time buying moving peach time not satisfied item like cutting fit fine come weird thick padding not stretchy don’t like work top struggle remove,Product Quality,2,Positive
5,"Well received! Material is good, thick, stretchy, and opaque! ",well received material good thick stretchy opaque,Product Quality,2,Positive
5,Quick delivery and item looks exactly like photos. Great quality at such a low price. I would suggest sticking to your usual sizing as L is way larger than any of the other tops.,quick delivery item look exactly like photo great quality low price would suggest sticking usual sizing way larger top,Product Quality,2,Positive
4,"Material feels good! Items are exact to the pictures ~ yet to try on though

:) thanks!:) ",material feel good item exact picture yet try though thanks,Product Quality,2,Positive
5,Love it niw using it,love niw using,Others,2,Positive
5,Received the product within 7 days. Box was dented but product seems ok. Have yet to try it. Thanks to the seller.,received product within day box dented but product seems ok yet try thanks seller,Delivery & Service,2,Positive
5,The product delivered as expected... It's good but just want to know how to get the gel.,product delivered expected good but want know get gel,Others,2,Positive
5,Fast delivery and good quality. It's really working well. It makes me sweat a lot. What makes me more contented is that ..once you on it...it will not shocked you. It's slowly working and u can choose how the level. I love it the most among all I tried. Thanks seller I highly recommend you. God bless,fast delivery good quality really working well make sweat lot make contented itit not shocked slowly working can choose level love among tried thanks seller highly recommend god bless,Product Quality,2,Positive
5,"As advertised. Sturdy and worth the money.
",advertised sturdy worth money,Product Quality,2,Positive
5,Received in good condition. Yet to try to see if it works,received good condition yet try see work,Delivery & Service,2,Positive
4,Well received. Box a little dented but all’s good. Just thought that a full set came with the gel pads as well but I was wrong. ,well received box little dented but all’s good thought full set came gel pad well but wrong,Packaging Quality,2,Positive
5,Product came in fast. In goood packaging and waiting to try it out,product came fast goood packaging waiting try,Packaging Quality,2,Positive
5,Well received but not yet try is working or not. Thank you...,well received but not yet try working or not thank,Delivery & Service,2,Positive
5,The delivery was quick. The ab trainer has faulty but the seller will be providing a new set for me. Thanks 👌🏻 great service,delivery quick ab trainer faulty but seller providing new set thanks 👌🏻 great service,Delivery & Service,2,Positive
5,Well received. ,well received,Delivery & Service,2,Positive
5,"Item received with great condition, 5 star rate as promised ",item received great condition star rate promised,Delivery & Service,2,Positive
5,Not bad! This product ,not bad product,Others,2,Positive
4,"The left and right is not having vibration. Only middle part is working.

The arm band stimulation also not having uniform distribution ",left right not vibration middle part working arm band stimulation also not uniform distribution,Others,2,Positive
3,Came quite fast. Havent tried yet. ,came quite fast havent tried yet,Others,1,Neutral
5,Item came very fast and in good conditions I will buy it always and again. ,item came fast good condition buy always,Others,2,Positive
5,Item came in very fast and in good conditions I will buy again and again. ,item came fast good condition buy,Others,2,Positive
5,Good ,good,Others,2,Positive
5,"A pad was not functioning as per normal, however with the great customer support from the seller, it brings trust to all consumer to purchase more from them. The seller can guide on the troubleshooting of themuscle trainer and will send out a new defective parts to customer.Waiting for the parts now",pad not functioning per normal however great customer support seller brings trust consumer purchase seller can guide troubleshooting themuscle trainer send new defective part customerwaiting part,Product Quality,2,Positive
5,"Sound great of the product.
Haven't try yet. Hopefully got effect for my body fat burning ",sound great product havent try yet hopefully got effect body fat burning,Others,2,Positive
5,well packaged! hope it works ,well packaged hope work,Product Quality,2,Positive
5,Product is good. Gel can be used for maybe 7 times? Will recommend  ,product good gel can used maybe time recommend,Product Quality,2,Positive
5,Gel is good and comfortable. Does not irritate my skin. Good.,gel good comfortable not irritate skin good,Product Quality,2,Positive
5,"See nice, let my friend try 😁",see nice let friend try,Others,2,Positive
5,Item received as described and in good condition,item received described good condition,Delivery & Service,2,Positive
5,Great item,great item,Others,2,Positive
5,Order received. Box was destroyed but item inside still nicely packed. Tried and could feel the contractions ,order received box destroyed but item inside still nicely packed tried could feel contraction,Packaging Quality,2,Positive
5,"Good product, really can feel a little sweaty. I have used for three days, still starting from Low to high current. However, right side stronger than left, so abs may turn out lopsided. Other than that, I think must also control diet and workout. This is just an additional measure",good product really can feel little sweaty used three day still starting low high current however right side stronger left ab may turn lopsided think must also control diet workout additional measure,Delivery & Service,2,Positive
5,as it had stated.,stated,Others,2,Positive
5,"Intensity is very strong. Only downside is the arm band is very short and can't cover the entire arm and may come off during use. Otherwise,  is a good value purchase",intensity strong downside arm band short cant cover entire arm may come use otherwise good value purchase,Product Quality,2,Positive
3,Received item yesterday.. tested the device and it is working great.. just that it’s a bit flimsy.. ,received item yesterday tested device working great it’s bit flimsy,Delivery & Service,1,Neutral
5,Very well packaged and the size is just nice. Worth the money! ,well packaged size nice worth money,Product Quality,2,Positive
3,"Product is great. However, delivery man left at the door without informing. ",product great however delivery man left door without informing,Delivery & Service,1,Neutral
5,"So pretty pink!! Thank you for such a fast delivery, will buy again!",pretty pink thank fast delivery buy,Delivery & Service,2,Positive
5,Good buy ! ,good buy,Others,2,Positive
1,"Material feels like styrofoam, and the backbone of the roller feels like toilet roll. Not keen to use it. Not a good buy. ",material feel like styrofoam backbone roller feel like toilet roll not keen use not good buy,Product Quality,0,Negative
5,Item as described. Delivery took abit of time. But understandable. Can't wait to use it ,item described delivery took abit time but understandable cant wait use,Delivery & Service,2,Positive
5,Product is good quality and sturdy. Will definitely recommend.,product good quality sturdy definitely recommend,Product Quality,2,Positive
5,"the roller arrived very fast even though, the circuit breaker.",roller arrived fast even though circuit breaker,Delivery & Service,2,Positive
5,Received the item in great condition! ,received item great condition,Delivery & Service,2,Positive
5,Love this colour!! Foam roller was out of stock but seller replied promptly about the restocking date. Shipping was very quick too!,love colour foam roller stock but seller replied promptly restocking date shipping quick,Delivery & Service,2,Positive
5,Item came as per described! Really good use & fast delivery. Highly recommended!,item came per described really good use fast delivery highly recommended,Delivery & Service,2,Positive
5,Fast delivery - works as it should!,fast delivery work should,Delivery & Service,2,Positive
4,Speedy delivery; minor cracks on the foam portion,speedy delivery minor crack foam portion,Delivery & Service,2,Positive
5,Delivery was quick despite the situation. Tried it works well. Really like the 2 different textures. ,delivery quick despite situation tried work well really like different texture,Product Quality,2,Positive
5,"This local delivery took longer than expected - saw tracking status updates. Order 15 may and received 27 may. Fine as I was not rushing.
  ",local delivery took longer expected saw tracking status update order may received may fine not rushing,Delivery & Service,2,Positive
5,Fast delivery! Product as described! User it on the day it arrived to ease my muscle ache! ,fast delivery product described user day arrived ease muscle ache,Delivery & Service,2,Positive
5,Good massage. Foam roller is well built!,good massage foam roller well built,Others,2,Positive
5,delivery was really quick! item came as described and its rly sturdy as well ,delivery really quick item came described rly sturdy well,Product Quality,2,Positive
5,Foam roller was in excellent condition and arrived very quickly,foam roller excellent condition arrived quickly,Delivery & Service,2,Positive
5,"Delivery was fast , only 2 days and items is true to the picture of item . Good quality . Will buy again from this local buyer . ",delivery fast day item true picture item good quality buy local buyer,Product Quality,2,Positive
5,Thank you for the Fast Delivery! Perfect size and color. I recommend this product. ,thank fast delivery perfect size color recommend product,Product Quality,2,Positive
5,Lime green doesn't look too bad,lime green doesnt look bad,Others,2,Positive
5,"Bought it as a gift for a friend, delivered straight to her. She said it’s really useful after long bike rides. ",bought gift friend delivered straight said it’s really useful long bike ride,Others,2,Positive
5,"delivery took 2 days, super fast considering the situation. item well received, thanks seller!",delivery took day super fast considering situation item well received thanks seller,Delivery & Service,2,Positive
5,fsst deliver. will try if effective..hope so. ,fsst deliver try effectivehope,Delivery & Service,2,Positive
5,Item received in good condition and works very well😁👍🏻,item received good condition work well😁👍🏻,Product Quality,2,Positive
5,"Everything is packed nicely in a box and it is individually sealed. It comes with a 3 head charger that allows you to charge 3 Ems at the same time. Strong powerful Ems, with different mode. Good product.",everything packed nicely box individually sealed come head charger allows charge em time strong powerful em different mode good product,Packaging Quality,2,Positive
5,Product was packaged really nicely. Seemed to work well after switching it on and testing it.,product packaged really nicely seemed work well switching testing,Product Quality,2,Positive
5,Item received in good condition and it is working in good condition. U can feel the electric movement when applied. ,item received good condition working good condition can feel electric movement applied,Delivery & Service,2,Positive
5,Fast delivery,fast delivery,Delivery & Service,2,Positive
5,Cant wait to use it. Good buy and price is very reasonable.,cant wait use good buy price reasonable,Others,2,Positive
5,Tired using once it works. It has many speeds and functions which is good. ,tired using work many speed function good,Product Quality,2,Positive
5,Product received in great condition ! Thanks seller! ,product received great condition thanks seller,Delivery & Service,2,Positive
5,Items received. Yet to try. Hope it works well. ,item received yet try hope work well,Product Quality,2,Positive
5,Fast delivery and good condition,fast delivery good condition,Delivery & Service,2,Positive
5,"Originally ordered and received a blue grid roller cos the one I wanted wasn't in stock. However, the seller came to my place and made the change to what I wanted (in pic). Awesomeness. ",originally ordered received blue grid roller co one wanted wasnt stock however seller came place made change wanted pic awesomeness,Delivery & Service,2,Positive
5,"Thank you! Very satisfied with my order. Product is great n works well. Well packaged n speedy delivery by J&T courier. Received the next day after I placed my order!! I use the bumpy one for my legs coz of Long distance running, and the smooth one for my lower back. ",thank satisfied order product great work well well packaged speedy delivery jt courier received next day placed order use bumpy one leg coz long distance running smooth one lower back,Product Quality,2,Positive
5,Received the item in good condition. It's firm and really kneads those achey muscles. Bought two rolls and comes with free delivery. Will order again if needed. Tks,received item good condition firm really kneads achey muscle bought two roll come free delivery order needed tks,Delivery & Service,2,Positive
5,"Delivery was so prompt i’m surprised! Have yet to use it, will purchase again if it’s good.",delivery prompt i’m surprised yet use purchase it’s good,Delivery & Service,2,Positive
5,Very fast delivery and items also good,fast delivery item also good,Delivery & Service,2,Positive
5,"Product works, but efficacy unknown yet. ",product work but efficacy unknown yet,Product Quality,2,Positive
5,Seller was very prompt in updating on the product delivery. Tried and works perfectly well. ,seller prompt updating product delivery tried work perfectly well,Delivery & Service,2,Positive
4,"Product received earlier than anticipated, the shopee status was indicating in transit. Size a lot different than expected.  Box was crushed on arrival. Have yet to try out but hope it works.The arm strips looks very small and short. Seller is responsive. One of the unit not working. ",product received earlier anticipated shopee status indicating transit size lot different expected box crushed arrival yet try but hope worksthe arm strip look small short seller responsive one unit not working,Delivery & Service,2,Positive
4,"Shipment took longer than expected. But it is becos of the covid19 situation, so i can undrrstand.",shipment took longer expected but becos covid situation can undrrstand,Delivery & Service,2,Positive
4,Received in time. Seems to work ok however cannot feel any pulse from the additional wrap around sections that are attached to the main abdominal pad section. Aside from that works as described. ,received time seems work ok however cannot feel pulse additional wrap around section attached main abdominal pad section aside work described,Product Quality,2,Positive
5,Looks good! ,look good,Others,2,Positive
5,Fast delivery 👍,fast delivery,Delivery & Service,2,Positive
5,Super fast delivery .. received faster than expected.  Great stuff,super fast delivery received faster expected great stuff,Delivery & Service,2,Positive
5,"Fast delivery. Was just expecting it would include a bag, but overall it’s worth the price still. Love the color too ",fast delivery expecting would include bag but overall it’s worth price still love color,Delivery & Service,2,Positive
5,Happy with my purchase. ,happy purchase,Others,2,Positive
5,Good thank you~,good thank,Others,2,Positive
5,Good customer service. Although there are some problem after goods received but seller is responsible and make the replacement. ,good customer service although problem good received but seller responsible make replacement,Delivery & Service,2,Positive
4,"Fast delivery. For the price it is, this is pretty good. Tried and works well except the gel on the pads tend to be very difficult to peel off when u want to reuse it.",fast delivery price pretty good tried work well except gel pad tend difficult peel want reuse,Product Quality,2,Positive
5,Haven't tried it yet but got it in good condition. Hope it works,havent tried yet but got good condition hope work,Product Quality,2,Positive
5,"Received item earlier than given date. Tried the product, I think it will work. Gonna try for a longer period and see how it goes! ",received item earlier given date tried product think work gonna try longer period see go,Delivery & Service,2,Positive
5,Received in good condition. Yet to try and i hope it works fine,received good condition yet try hope work fine,Delivery & Service,2,Positive
5,It actually works. I can feel my muscles clench. Hopefully it helps with my workout results,actually work can feel muscle clench hopefully help workout result,Product Quality,2,Positive
5,Fast delivery tested ok,fast delivery tested ok,Delivery & Service,2,Positive
5,Recieved. Havent tey yet. Hopefully it works for me. ,recieved havent tey yet hopefully work,Product Quality,2,Positive
5,Thanks for the item,thanks item,Others,2,Positive
5,Thanks so much seller.. received & tested.It works... 👍🏽👍🏽👍🏽👍🏽👍🏽,thanks much seller received testedit work 👍🏽👍🏽👍🏽👍🏽👍🏽,Delivery & Service,2,Positive
5,"On time delivery.  Product condition good and working well. 
",time delivery product condition good working well,Delivery & Service,2,Positive
4,Strong vibrations ! It made my arms twitch . Will use for a while and update . Adhesive quite sticky ,strong vibration made arm twitch use update adhesive quite sticky,Product Quality,2,Positive
5,Fast delivered.thanks. i havent   yet.look is good,fast deliveredthanks havent yetlook good,Others,2,Positive
5,"Tried, strong vibration",tried strong vibration,Product Quality,2,Positive
5,"Came a little later than ETA,but understandable due to covid. Product works fine,and can feel the muscles being clenched,although the one for the abs need to be set to a higher intensity to be able to feel it. Overall recommended!",came little later etabut understandable due covid product work fineand can feel muscle clenchedalthough one ab need set higher intensity able feel overall recommended,Product Quality,2,Positive
5,Items received in good packaging and condition. Will try it soon n see what the result.,item received good packaging condition try soon see result,Delivery & Service,2,Positive
5,overall okay. dont feel much of the intensity. But delivery was fast. thanks,overall okay dont feel much intensity but delivery fast thanks,Delivery & Service,2,Positive
5,"Items well received, have yet to try.",item well received yet try,Delivery & Service,2,Positive
5,Packaged nicely,packaged nicely,Packaging Quality,2,Positive
3,Sticky pads not sticky after just one use. Electronics works just fine.,sticky pad not sticky one use electronics work fine,Product Quality,1,Neutral
5,"Working well, my tummy is sweating. Will buy again when it's spoil, hopefully no so soon. 😃",working well tummy sweating buy spoil hopefully no soon,Others,2,Positive
5,Good product 👍,good product,Others,2,Positive
5,"Ahhhhhhh thisss isssss greatttt product I luv it,vi tried working welll",ahhhhhhh thisss isssss greatttt product luv itvi tried working welll,Others,2,Positive
5,Just received the item in good condition. Nicely packaged. Have not try it yet. Hope it will be useful.,received item good condition nicely packaged not try yet hope useful,Delivery & Service,2,Positive
5,"This product is awesome! I just got mine, it works perfectly. Gonna get one more for my friend.👍",product awesome got mine work perfectly gonna get one friend👍,Product Quality,2,Positive
5,Good purchase. Working well,good purchase working well,Others,2,Positive
5,"Item received in good condition. I found the size might be slightly too big for me, make it harder for me to row around.",item received good condition found size might slightly big make harder row around,Delivery & Service,2,Positive
5,accurate product. works well,accurate product work well,Product Quality,2,Positive
